MID,MERCHANT_DBA_NAME,MSO,SOURCE_CODE,WILAYAH,CHANNEL,TAHUN,BULAN
201048733,ALFAMART W512 BUDI UTOMO,A01,P1Y1RR003984081MR2,WMD,XYZ,2019,1
201048741,ALFAMART W515 AEK LOBA AS,A01,P1Y1RR003984081MR2,WMD,XYZ,2019,1
201048758,ALFAMART W514 PULAU RAKYA,A01,P1Y1RR003984081MR2,WMD,XYZ,2019,1
201048766,ALFAMART W513 PROTOKOL AI,A01,P1Y1RR003984081MR2,WMD,XYZ,2019,1
201048774,ALFAMART W517 T. NYAK ARI,A01,P1Y1RR003984081MR2,WMD,XYZ,2019,1
201048782,ALFAMART W519 T. KREUNG M,A01,P1Y1RR003984081MR2,WMD,XYZ,2019,1
201048790,ALFAMART W499 MATANG SEUL,A01,P1Y1RR003984081MR2,WMD,XYZ,2019,1
202135851,UNI ADEK MBL,B60,,WPD,XYZ,2019,1
202135869,YURORA MAKE UP STORE MBL,B60,,WPD,XYZ,2019,1
202136065,SINAR PRATAMA MBL,B63,,WPD,XYZ,2019,1
202144895,ALFAMART 1A0F SWAKARYA-PE,A02,P1Y1RR003984081MR2,WPD,XYZ,2019,1
202144903,ALFAMART 1A0G M UARA FAJA,A02,P1Y1RR003984081MR2,WPD,XYZ,2019,1
202144911,ALFAMART 2DJ1 BALOI MAS,A02,P1Y1RR003984081MR2,WPD,XYZ,2019,1
205165608,ALFAMART HA18 KARANGANYAR,A05,P1Y1RR003984081MR2,WSM,XYZ,2019,1
205165616,ALFAMART 2AI3 BULU JEPARA,A05,P1Y1RR003984081MR2,WSM,XYZ,2019,1
205165624,ALFAMART 2AK3 KUTOHARJO P,A05,P1Y1RR003984081MR2,WSM,XYZ,2019,1
205165632,ALFAMART 2AM9 SPBU KLALIN,A05,P1Y1RR003984081MR2,WSM,XYZ,2019,1
205165640,ALFAMART 2AN2 KAMOLAN BLO,A05,P1Y1RR003984081MR2,WSM,XYZ,2019,1
206047573,ALFAMART U817 REST AREA K,A06,P1Y1RR003984081MR2,WSY,XYZ,2019,1
206047581,ALFAMART U819 TAMBAKSARI,A06,P1Y1RR003984081MR2,WSY,XYZ,2019,1
207151184,ALFAMART R514 SYECH YUSUF,A07,P1Y1RR003984081MR2,WMK,XYZ,2019,1
207151192,ALFAMART R515 HERTASNING,A07,P1Y1RR003984081MR2,WMK,XYZ,2019,1
207151200,ALFAMART R512 HARTACO IND,A07,P1Y1RR003984081MR2,WMK,XYZ,2019,1
207151218,ALFAMART R513 PACERAKKANG,A07,P1Y1RR003984081MR2,WMK,XYZ,2019,1
209161769,JINGGA MART MBL,I03,,WBJ,XYZ,2019,1
209161777,CLEAN MART JUANDA MBL,I03,,WBJ,XYZ,2019,1
209161785,AYUHA VAPE SHOP MBL,I03,,WBJ,XYZ,2019,1
209161793,TK PIPOSS COSMETIC MBL,I03,,WBJ,XYZ,2019,1
209161801,APOTIK BIOS FARMA MBL,I03,,WBJ,XYZ,2019,1
209161827,NOTARIS CINDY PUTRI MBL,I03,,WBJ,XYZ,2019,1
209161850,PENGINAPAN BORNEO SYARIAH,I03,,WBJ,XYZ,2019,1
209161868,TK EMAS SHANTY MBL,I03,,WBJ,XYZ,2019,1
209161876,RJM VARIASI MBL,I03,,WBJ,XYZ,2019,1
209161900,BANUA COMPUTER MBL,I03,,WBJ,XYZ,2019,1
209168731,D DAPOER ROTI JOHN MBL,I03,,WBJ,XYZ,2019,1
